epoch,train_loss,test_loss
1,0.9491207578987964,0.31108765393684185
2,0.261861976879492,0.19706515637756902
3,0.17222519071180936,0.14214232582834702
4,0.1245484213267308,0.11214430932592176
5,0.09661826614473167,0.09486620047400836
6,0.07992800045957062,0.08883936128938641
7,0.06481449046670627,0.09248822707317392
8,0.05401164263999189,0.08233576603499064
9,0.044492036909428934,0.07855418438454383
10,0.03882909552660832,0.07753424898443502
11,0.031329541844425046,0.07422894548313085
12,0.027106506898919785,0.08780286360540887
13,0.021690194888699697,0.06914378480659356
14,0.0165606624829565,0.0705701875734501
15,0.014046066568475336,0.07421458999269356
16,0.011154448171195859,0.06809517232982273
17,0.009387873619524782,0.07511920494553008
18,0.007397433141194809,0.07934465487442485
19,0.005913305451035071,0.07561703867878937
20,0.005227843892444342,0.07143242476712647
21,0.0033938500935014196,0.07410652666206986
22,0.0027130567733057416,0.07662641864581479
23,0.0022549894086689925,0.0750915613594926
24,0.001804314149293685,0.07639159560555607
25,0.0014898805181681515,0.07672616992721043
